age,gender,driving_experience,car_age,car_value,car_category,annual_mileage,traffic_violations,previous_accidents,urban_driving_percent,night_driving_percent,credit_score,married,children,has_garage,education_level,income_level,claim_occurred,claim_amount
56,male,31,1,6130,SUV,46213,1,0,12,81,537,1,2,0,phd,136309,0,0.0
69,female,11,12,19071,sports,34095,1,0,85,93,629,1,0,0,bachelors,106208,0,0.0
46,female,47,8,90517,sports,4816,2,0,25,14,484,1,0,1,high_school,69506,0,0.0
32,female,41,6,7118,sports,33626,1,0,80,22,724,1,1,0,bachelors,28249,0,0.0
60,female,26,15,5663,sports,36916,1,0,28,11,622,0,2,0,phd,116748,0,0.0
25,female,9,18,67408,sports,48838,0,0,90,67,781,0,1,1,masters,56141,0,0.0
78,female,45,6,56786,sedan,12573,0,0,85,67,657,0,2,1,phd,138043,0,0.0
38,female,41,5,86271,sedan,44334,0,1,17,51,661,0,0,1,phd,48791,0,0.0
56,female,31,17,24158,SUV,19939,0,0,68,40,335,1,0,1,masters,41968,0,0.0
75,female,41,18,36087,sports,14157,0,0,11,77,815,0,1,0,high_school,38639,0,0.0
36,female,25,10,93114,sports,10322,0,0,1,58,629,0,2,1,high_school,142591,0,0.0
40,female,24,11,58121,SUV,3482,0,0,41,57,568,0,1,1,bachelors,93196,0,0.0
28,female,10,9,24874,SUV,36867,1,1,6,58,369,0,1,1,phd,94499,0,0.0
28,female,22,12,88443,truck,45280,1,0,46,71,818,0,3,0,high_school,25755,0,0.0
41,female,33,11,45821,SUV,14675,0,0,89,22,677,0,1,0,bachelors,179242,0,0.0
70,female,39,9,65582,SUV,31420,0,0,53,0,592,1,1,0,phd,38963,0,0.0
53,female,22,19,27787,SUV,43516,0,0,14,55,585,1,2,0,phd,51961,0,0.0
57,male,28,17,69703,truck,12735,1,0,57,74,659,0,1,0,high_school,138918,0,0.0
41,female,30,3,26705,sedan,14850,0,0,32,90,823,0,0,1,bachelors,118654,0,0.0
20,male,6,4,74381,truck,7732,0,0,66,3,636,0,1,0,masters,82013,0,0.0
39,female,39,4,49653,sedan,41753,1,0,62,28,841,1,4,0,phd,183513,1,1461.5163675061713
70,female,32,11,87018,SUV,46468,0,0,47,16,335,1,1,0,bachelors,22691,0,0.0
19,male,20,2,96626,truck,39822,1,0,65,48,787,0,1,1,masters,73447,0,0.0
41,female,1,7,91217,truck,35422,1,0,80,82,678,0,1,1,masters,59154,1,3368.512229865734
61,male,17,1,37252,sedan,33731,0,0,64,50,643,1,0,1,high_school,33453,0,0.0
47,male,46,17,78332,truck,12428,0,1,35,48,529,0,1,1,masters,105240,0,0.0
55,male,32,8,77799,truck,12311,0,0,16,23,696,0,2,0,phd,96629,0,0.0
19,female,36,12,67185,sports,4733,0,1,1,43,720,1,0,1,phd,109750,1,2656.5754368235334
77,female,33,6,83313,sedan,40579,1,0,32,40,701,1,0,1,bachelors,25923,0,0.0
38,female,19,9,46538,truck,9342,0,0,92,56,787,1,2,1,phd,140304,0,0.0
50,male,34,8,25343,truck,11464,0,0,5,55,345,0,1,0,high_school,34929,0,0.0
29,male,49,14,85398,SUV,49514,0,0,42,31,453,1,2,0,high_school,74292,0,0.0
75,female,17,4,46232,sports,46311,0,0,99,30,560,1,2,0,phd,81742,0,0.0
39,female,45,11,58106,sports,11300,1,0,87,15,586,0,1,1,bachelors,196910,0,0.0
78,female,23,0,86227,SUV,35563,0,0,10,31,630,1,1,0,high_school,62910,0,0.0
61,female,7,11,58079,SUV,49960,0,0,4,41,771,1,0,0,bachelors,120057,0,0.0
42,female,29,5,30028,SUV,14708,0,1,29,33,568,1,1,1,phd,100131,0,0.0
66,male,43,18,47135,SUV,29090,0,0,9,98,456,0,3,0,masters,141726,0,0.0
44,male,9,18,36066,sports,42308,1,0,90,36,728,0,1,0,high_school,53393,0,0.0
76,male,22,15,88470,truck,17328,1,0,90,15,551,1,1,1,masters,77788,0,0.0
59,female,48,18,25910,truck,27654,4,0,23,84,566,0,3,0,high_school,76510,0,0.0
45,male,10,2,12141,SUV,7214,2,1,58,12,358,0,2,0,phd,167609,0,0.0
77,male,1,9,50950,sedan,39913,0,0,66,81,470,0,3,0,bachelors,126929,0,0.0
33,male,25,17,60723,SUV,28552,1,0,60,65,618,1,1,0,bachelors,171968,0,0.0
32,male,35,12,21225,truck,36377,1,0,25,32,697,0,2,1,bachelors,109987,0,0.0
79,male,32,17,92123,sedan,26734,0,0,38,81,314,0,0,1,phd,97496,0,0.0
79,female,46,2,37959,SUV,25721,2,0,81,91,761,0,2,0,bachelors,92942,0,0.0
64,male,12,2,54192,sedan,19610,2,0,2,34,437,1,0,0,high_school,25949,1,1047.2970759418456
79,female,39,11,84711,SUV,14622,0,1,37,36,449,0,0,1,masters,144759,0,0.0
68,female,24,19,15051,sports,29875,0,1,41,75,599,0,1,0,phd,67070,0,0.0
61,female,3,6,76428,truck,24226,0,0,47,39,722,0,0,0,masters,89793,0,0.0
72,female,41,7,8449,SUV,28677,0,0,88,7,718,0,2,1,high_school,150685,0,0.0
69,female,18,8,46095,sedan,11298,0,0,12,53,492,1,1,0,high_school,118081,0,0.0
74,male,17,13,82929,truck,36848,0,0,88,88,582,0,0,0,masters,94369,1,3837.924579943679
20,male,36,4,34190,SUV,34755,1,0,87,6,553,1,1,0,masters,188234,0,0.0
54,female,29,18,31141,SUV,18744,1,0,55,1,803,0,2,1,high_school,169831,0,0.0
68,female,18,15,28908,SUV,24434,2,0,58,96,612,1,1,0,high_school,62416,0,0.0
24,female,22,11,37322,SUV,41314,2,0,62,55,577,0,0,1,high_school,159796,0,0.0
38,male,15,3,55710,sports,49001,1,1,79,96,609,1,1,0,high_school,116803,0,0.0
26,female,0,7,19012,truck,2726,0,0,42,56,485,1,0,0,high_school,44320,0,0.0
56,male,11,6,39889,sports,49917,0,1,74,48,523,1,1,1,masters,72731,1,7877.683836891718
35,female,23,14,22412,truck,15268,0,0,56,86,721,0,2,0,masters,165833,0,0.0
21,male,33,5,29657,SUV,47745,0,0,20,68,326,1,0,1,phd,131974,0,0.0
42,female,7,4,10656,truck,1907,1,1,94,77,680,0,0,1,bachelors,40016,0,0.0
77,male,17,13,13967,sedan,26759,1,0,53,7,619,1,2,1,bachelors,68645,0,0.0
31,female,47,12,89958,truck,14764,0,0,78,83,430,0,2,0,masters,177819,0,0.0
67,male,4,9,20764,sedan,25409,0,2,52,62,822,0,2,1,masters,28928,0,0.0
75,male,25,17,20873,sedan,9390,0,1,44,81,579,1,0,0,bachelors,71178,0,0.0
26,male,29,3,99485,sports,31172,2,0,35,86,584,0,2,1,bachelors,42700,0,0.0
43,male,12,7,56030,truck,36223,2,1,62,92,496,0,1,1,bachelors,196866,1,2599.2691153880673
70,male,18,10,72807,SUV,38976,1,0,0,70,574,1,0,1,phd,105659,0,0.0
19,male,28,16,6607,truck,41542,0,0,91,87,367,0,0,0,high_school,85215,0,0.0
37,male,2,17,24523,sports,48324,1,1,96,45,532,0,1,0,bachelors,37825,0,0.0
45,female,25,10,53447,sedan,49196,0,1,66,88,521,0,0,1,high_school,104127,0,0.0
