LIMIT_BAL,AGE,EDUCATION,MARRIAGE,SEX,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
131958,36,3,1,1,1,6,3,7,6,4,270770,837193,530265,652519,600548,694928,31758,35202,16529,24776,51089,6664,1
681155,24,4,2,2,-2,1,-2,4,8,5,960587,943105,804642,157132,46060,429930,79446,53219,60051,20045,94224,11189,1
141932,77,2,2,1,7,7,7,0,6,9,397855,958603,437450,654060,17642,876845,57037,67857,73885,88703,22140,65876,0
375838,76,3,2,2,4,7,4,6,1,7,504615,249776,672322,198156,117794,610519,21306,92837,45657,63034,94900,89295,0
269178,50,2,3,2,6,1,7,5,7,4,34706,552583,449125,281300,82915,-83205,23645,41593,14359,45416,6235,65681,1
654167,71,4,1,2,3,9,4,5,-1,4,940994,-59085,866530,327475,95733,925057,18685,99413,48256,40706,34386,91332,1
120268,59,4,3,2,3,4,1,6,8,-2,712933,-11295,599542,-6297,123545,-8686,68850,12655,48806,13974,1552,68973,1
742180,57,4,1,1,6,1,1,5,-1,2,-60291,121716,996537,380879,435483,177953,66807,66157,21799,59141,93730,74585,0
64886,62,4,1,1,1,-2,8,1,9,7,9199,93021,295909,101793,422593,-36817,77025,59966,39153,87501,31816,74986,1
147337,38,3,3,2,2,8,3,4,2,2,241878,569120,533504,745967,623818,135382,18008,35268,1570,88647,76247,74308,0
531430,55,3,2,2,2,6,0,3,7,1,663241,270129,318637,532318,592816,207470,42541,62955,74686,82902,51145,94720,0
964698,69,2,1,2,9,-1,7,-2,1,-2,496796,12862,100692,55249,685588,641817,44886,64084,14628,56238,37609,83598,1
97498,52,1,3,2,2,2,3,9,3,4,503920,415211,894818,135818,812444,314859,97465,64964,67958,62814,59040,91804,1
909159,32,4,2,2,5,1,8,2,6,5,552278,123539,719602,711748,14299,867875,42314,84919,88716,82035,52450,89112,1
922756,33,2,1,1,8,5,8,-1,4,2,52169,-24520,97018,72496,425789,306520,57285,20953,7364,79408,73222,7781,1
185203,75,2,1,2,-2,3,1,6,9,1,498498,448579,966929,770133,-44750,477130,73779,13960,96175,29328,76241,44076,0
201335,52,2,2,1,7,4,7,8,8,9,906543,255217,371481,59702,434160,738831,27594,35093,91992,46793,78872,50718,1
